-0.01  -0.82  -0.57  0.39  0.57  0.72  0.05  -0.99  -0.16
-0.01  -0.82  -0.57  0.05  -0.99  -0.16  -0.81  -0.52  -0.28
0.39  0.57  0.72  -0.01  -0.82  -0.57  0.15  -0.20  -0.97
-0.01  -0.82  -0.57  -0.81  -0.52  -0.28  0.15  -0.20  -0.97
0.05  -0.99  -0.16  0.39  0.57  0.72  0.31  0.12  0.94
-0.81  -0.52  -0.28  0.05  -0.99  -0.16  0.31  0.12  0.94
0.39  0.57  0.72  -0.63  0.70  0.34  0.31  0.12  0.94
-0.63  0.70  0.34  -0.81  -0.52  -0.28  0.31  0.12  0.94
0.15  -0.20  -0.97  -0.81  -0.52  -0.28  -0.73  0.37  -0.58
-0.81  -0.52  -0.28  -0.63  0.70  0.34  -0.73  0.37  -0.58
0.39  0.57  0.72  0.15  -0.20  -0.97  0.19  0.97  -0.16
-0.63  0.70  0.34  0.39  0.57  0.72  0.19  0.97  -0.16
0.15  -0.20  -0.97  -0.73  0.37  -0.58  0.19  0.97  -0.16
-0.73  0.37  -0.58  -0.63  0.70  0.34  0.19  0.97  -0.16
