0.38  -0.55  -0.74  -0.33  0.94  0.05  0.03  0.87  -0.49
-0.33  0.94  0.05  0.62  0.52  0.58  0.03  0.87  -0.49
0.38  -0.55  -0.74  0.62  0.52  0.58  0.73  -0.65  0.20
-0.33  0.94  0.05  0.38  -0.55  -0.74  -0.85  0.37  0.36
0.62  0.52  0.58  -0.33  0.94  0.05  -0.85  0.37  0.36
0.38  -0.55  -0.74  0.73  -0.65  0.20  -0.85  0.37  0.36
0.73  -0.65  0.20  0.62  0.52  0.58  -0.85  0.37  0.36
0.62  0.52  0.58  0.38  -0.55  -0.74  0.63  0.57  -0.52
0.38  -0.55  -0.74  0.03  0.87  -0.49  0.63  0.57  -0.52
0.03  0.87  -0.49  0.62  0.52  0.58  0.63  0.57  -0.52
