0.56  -0.62  0.55  -0.03  -0.34  -0.94  0.40  -0.03  -0.91
-0.03  -0.34  -0.94  0.56  -0.62  0.55  -0.80  -0.47  0.36
-0.80  -0.47  0.36  0.56  -0.62  0.55  -0.77  0.31  0.56
0.40  -0.03  -0.91  -0.03  -0.34  -0.94  -0.95  0.29  -0.07
-0.03  -0.34  -0.94  -0.80  -0.47  0.36  -0.95  0.29  -0.07
-0.80  -0.47  0.36  -0.77  0.31  0.56  -0.95  0.29  -0.07
0.56  -0.62  0.55  0.40  -0.03  -0.91  0.04  0.75  -0.66
-0.77  0.31  0.56  0.56  -0.62  0.55  0.04  0.75  -0.66
0.40  -0.03  -0.91  -0.95  0.29  -0.07  0.04  0.75  -0.66
-0.95  0.29  -0.07  -0.77  0.31  0.56  0.04  0.75  -0.66
